event_type,total_incidents,total_fatalities,casualty_ratio
Battles,7305,31849,4.36
Explosions/Remote violence,2770,9404,3.39
Violence against civilians,9642,19063,1.98
Riots,2425,998,0.41
Strategic developments,4618,137,0.03
Protests,4593,49,0.01
